TIME_PERIOD,REF_AREA,BREAKDOWN_GROUP,SEX,AGE,REF_SECTOR,INTENSITY,UNIT_MEASURE,STAT_UNIT,DECIMALS,EDUCATION_LEV,VALUE,VAL_0,VAL_1
2018,US,CNT_AGE_SEX_EDL ,F,Y25T29,INST_T,_T,PN,TEACH,0,ISCED11_0,,O,
2018,US,CNT_AGE_SEX_EDL ,F,Y25T29,INST_T,_T,PN,TEACH,0,ISCED11_01,,O,
2018,US,CNT_AGE_SEX_EDL ,F,Y25T29,INST_T,_T,PN,TEACH,0,ISCED11_02,82857.79401670053,,
2018,US,CNT_AGE_SEX_EDL ,F,Y25T29,INST_T,_T,PN,TEACH,0,ISCED11_1,188229.80199769582,,
2018,US,CNT_AGE_SEX_EDL ,F,Y25T29,INST_T,_T,PN,TEACH,0,ISCED11_2,71260.26566962813,,
2018,US,CNT_AGE_SEX_EDL ,F,Y25T29,INST_T,_T,PN,TEACH,0,ISCED11_3,52281.99006701968,,
2018,US,CNT_AGE_SEX_EDL ,F,Y25T29,INST_T,_T,PN,TEACH,0,ISCED11_34,,K,Included in all programmes
2018,US,CNT_AGE_SEX_EDL ,F,Y25T29,INST_T,_T,PN,TEACH,0,ISCED11_35,,K,Included in all programmes
2018,US,CNT_AGE_SEX_EDL ,F,Y25T29,INST_T,_T,PN,TEACH,0,ISCED11_4,,K,Included in ISCED 5T8
2018,US,CNT_AGE_SEX_EDL ,F,Y25T29,INST_T,_T,PN,TEACH,0,ISCED11_44,,M,
2018,US,CNT_AGE_SEX_EDL ,F,Y25T29,INST_T,_T,PN,TEACH,0,ISCED11_45,,K,Included in ISCED 5T8
2018,US,CNT_AGE_SEX_EDL ,F,Y25T29,INST_T,_T,PN,TEACH,0,ISCED11_5,,K,Included in ISCED 5T8
2018,US,CNT_AGE_SEX_EDL ,F,Y25T29,INST_T,_T,PN,TEACH,0,ISCED11_54T84,,M,
2018,US,CNT_AGE_SEX_EDL ,F,Y25T29,INST_T,_T,PN,TEACH,0,ISCED11_55T85,,M,
2018,US,CNT_AGE_SEX_EDL ,F,Y25T29,INST_T,_T,PN,TEACH,0,ISCED11_5T8,,K,Includes ISCED 4
2018,US,CNT_AGE_SEX_EDL ,F,Y25T29,INST_T,_T,PN,TEACH,0,ISCED11_6T8,,K,Included in ISCED 5T8
2018,US,CNT_AGE_SEX_EDL ,F,Y30T34,INST_T,_T,PN,TEACH,0,ISCED11_0,,O,
2018,US,CNT_AGE_SEX_EDL ,F,Y30T34,INST_T,_T,PN,TEACH,0,ISCED11_01,,O,
2018,US,CNT_AGE_SEX_EDL ,F,Y30T34,INST_T,_T,PN,TEACH,0,ISCED11_02,79187.39956643234,,
2018,US,CNT_AGE_SEX_EDL ,F,Y30T34,INST_T,_T,PN,TEACH,0,ISCED11_1,201368.1919368092,,
2018,US,CNT_AGE_SEX_EDL ,F,Y30T34,INST_T,_T,PN,TEACH,0,ISCED11_2,83577.27427194186,,
2018,US,CNT_AGE_SEX_EDL ,F,Y30T34,INST_T,_T,PN,TEACH,0,ISCED11_3,63543.864488577514,,
2018,US,CNT_AGE_SEX_EDL ,F,Y30T34,INST_T,_T,PN,TEACH,0,ISCED11_34,,K,Included in all programmes
2018,US,CNT_AGE_SEX_EDL ,F,Y30T34,INST_T,_T,PN,TEACH,0,ISCED11_35,,K,Included in all programmes
