TIME_PERIOD,REF_AREA,BREAKDOWN_GROUP,SEX,AGE,REF_SECTOR,INTENSITY,UNIT_MEASURE,STAT_UNIT,DECIMALS,EDUCATION_LEV,VALUE,VAL_0,VAL_1
2018,US,CNT_REF_SECT_INTENS_SEX_EDL,F,_T,INST_PRIV,FT,PN,TEACH,0,ISCED11_0,,O,
2018,US,CNT_REF_SECT_INTENS_SEX_EDL,F,_T,INST_PRIV,FT,PN,TEACH,0,ISCED11_01,,O,
2018,US,CNT_REF_SECT_INTENS_SEX_EDL,F,_T,INST_PRIV,FT,PN,TEACH,0,ISCED11_02,218028.42299825337,,
2018,US,CNT_REF_SECT_INTENS_SEX_EDL,F,_T,INST_PRIV,FT,PN,TEACH,0,ISCED11_1,167727.76726728812,,
2018,US,CNT_REF_SECT_INTENS_SEX_EDL,F,_T,INST_PRIV,FT,PN,TEACH,0,ISCED11_2,65306.331994866785,,
2018,US,CNT_REF_SECT_INTENS_SEX_EDL,F,_T,INST_PRIV,FT,PN,TEACH,0,ISCED11_3,56124.94100389461,,
2018,US,CNT_REF_SECT_INTENS_SEX_EDL,F,_T,INST_PRIV,FT,PN,TEACH,0,ISCED11_34,,K,Included in all programmes
2018,US,CNT_REF_SECT_INTENS_SEX_EDL,F,_T,INST_PRIV,FT,PN,TEACH,0,ISCED11_35,,K,Included in all programmes
2018,US,CNT_REF_SECT_INTENS_SEX_EDL,F,_T,INST_PRIV,FT,PN,TEACH,0,ISCED11_4,,K,Included in ISCED 5T8
2018,US,CNT_REF_SECT_INTENS_SEX_EDL,F,_T,INST_PRIV,FT,PN,TEACH,0,ISCED11_44,,M,
2018,US,CNT_REF_SECT_INTENS_SEX_EDL,F,_T,INST_PRIV,FT,PN,TEACH,0,ISCED11_45,,K,Included in ISCED 5T8
2018,US,CNT_REF_SECT_INTENS_SEX_EDL,F,_T,INST_PRIV,FT,PN,TEACH,0,ISCED11_5,,K,Included in ISCED 5T8
2018,US,CNT_REF_SECT_INTENS_SEX_EDL,F,_T,INST_PRIV,FT,PN,TEACH,0,ISCED11_54T84,,M,
2018,US,CNT_REF_SECT_INTENS_SEX_EDL,F,_T,INST_PRIV,FT,PN,TEACH,0,ISCED11_55T85,,M,
2018,US,CNT_REF_SECT_INTENS_SEX_EDL,F,_T,INST_PRIV,FT,PN,TEACH,0,ISCED11_5T8,138545,W,Includes ISCED 4
